Maritime wins toss - defers
"J. Gagliardi kickoff 33 yards to the ASTATE32, Thomas, Andrew return 8 yards to the ASTATE40 (J. Goodwin)."
ASTATE at 15:00
2nd and 5 at ASTATE15,"Wilson, Dashown pass incomplete to Carson, Trevor, dropped pass."
3rd and 5 at ASTATE15,"Wilson, Dashown pass incomplete to Nichols, D.."
4th and 5 at ASTATE15,"Zimmerman, M. rush for 22 yards to the ASTATE37 (T. Trapanii)."
1st and 10 at ASTATE37,"Wilson, Dashown rush for 21 yards to the MARITIME42, out-of-bounds (F. Vano)."
1st and 10 at MARITIME42,"Wilson, Dashown pass incomplete to Thomas, Andrew."
2nd and 10 at MARITIME42,PENALTY ASTATE ineligible man down field declined.
2nd and 10 at MARITIME42,"Wilson, Dashown rush for 5 yards to the MARITIME37 (L. Bailey)."
3rd and 5 at MARITIME37,QB hurry by J. Lupardo.
3rd and 5 at MARITIME37,"Wilson, Dashown pass intercepted by J. Corsfield at the MARITIME25, J. Corsfield return 9 yards to the MARITIME34 (Vargas, B.)."
Total,"8 plays , 53 yards Time of Possession: 03:00"
MARITIME at 04:01
1st and 10 at MARITIME34,MARITIME drive start at 04:01.
1st and 10 at MARITIME34,"H. Williamson rush for 2 yards to the MARITIME36 (Guzman, Jamel)."
2nd and 8 at MARITIME36,"H. Williamson rush for loss of 2 yards to the MARITIME34, fumble forced by Guzman, Jamel, fumble by H. Williamson recovered by ASTATE Nixon, Jeremiah at MARITIME41."
Total,"2 plays , 7 yards Time of Possession: 00:48"
ASTATE at 03:13
1st and 10 at MARITIME41,ASTATE drive start at 03:13.
1st and 10 at MARITIME41,"Wilson, Dashown pass incomplete to Thomas, Andrew."
2nd and 10 at MARITIME41,"Wilson, Dashown pass complete to Broadwater, S. for 2 yards to the MARITIME39 (D. Stephens)."
3rd and 8 at MARITIME39,"Wilson, Dashown rush for 10 yards to the MARITIME29 (J. Corsfield)."
1st and 10 at MARITIME29,"Wilson, Dashown pass incomplete."
2nd and 10 at MARITIME29,"Wilson, Dashown pass complete to Broadwater, S. for 19 yards to the MARITIME10 (J. Snuffer)."
1st and GOAL at MARITIME10,"Palmer, Jake rush for 9 yards to the MARITIME01 (J. Snuffer; A. Wierzbicki)."
2nd and GOAL at MARITIME01,"Timeout MARITIME, clock 01:26."
2nd and GOAL at MARITIME01,"Palmer, Jake rush for 1 yard to the MARITIME00, TOUCHDOWN, clock 01:20."
1st and GOAL at MARITIME03,"Zimmerman, M. kick attempt good."
1st and 10 at ASTATE35,"Zimmerman, M. kickoff 30 yards to the MARITIME35, K. Murphy return 4 yards to the MARITIME39 (Marun, Julian; Morakis, Ben)."
Total,"7 plays , 41 yards Time of Possession: 01:53"
MARITIME at 01:14
1st and 10 at MARITIME39,MARITIME drive start at 01:14.
1st and 10 at MARITIME39,"J. Lynn pass complete to A. Geni for 14 yards to the ASTATE47 (Williams, Brian)."
1st and 10 at ASTATE47,"J. Lynn pass complete to K. Murphy for 8 yards to the ASTATE39 (Van Fleet, R.)."
2nd and 2 at ASTATE39,J. Lynn pass incomplete to A. Geni.
3rd and 2 at ASTATE39,"J. Lynn pass incomplete to C. Schiavone (Rosa, Shawn)."
4th and 2 at ASTATE39,"J. Lynn pass incomplete to V. Vollaro (Nixon, Jeremiah)."
Total,"5 plays , 22 yards Time of Possession: 00:32"
ASTATE at 00:42
1st and 10 at ASTATE39,ASTATE drive start at 00:42.
1st and 10 at ASTATE39,TEAM rush for loss of 1 yard to the ASTATE38.
2nd and 11 at ASTATE38,"End of game, clock 00:00."
Total,"1 plays , -1 yards Time of Possession: 00:42"
