"BU Captains: 1 Arnold, 7 Lovett, 55 Newman, 93 Lynch
                                                        
                                                                UT Captains: 6 Duvernay, 9 Johnson, 19 Jones, 56 Shackelford
                                                            
                                                                Texas wins toss, defers; Baylor receives, defends north end zone."
3rd and 10 at UT47,"Brewer,Charlie pass incomplete to Sneed,R.J.."
4th and 10 at UT47,"Power,Issac punt 45 yards to the UT2, downed."
Total,"5 plays , 27 yards Time of Possession: 0:52"
Texas at 00:18
1st and 10 at UT02,TEXAS drive start at 00:18.
1st and 10 at UT02,"Keaontay Ingram rush for 68 yards to the BU30, 1ST DOWN UT (Miller,Chris)."
1st and 10 at BU30,"Timeout Texas, clock 00:05."
1st and 10 at BU30,"Timeout Baylor, clock 00:05."
1st and 10 at BU30,"Cameron Dicker field goal attempt from 48 GOOD, clock 00:00."
1st and GOAL at UT35,"End of half, clock 00:00."
Total,"2 plays , 68 yards Time of Possession: 0:18"
"Start of 3rd quarter, clock 15:00, BU ball on BU35."
"Rauschenberg,N. kickoff 65 yards to the UT0, touchback."
Texas at 15:00
1st and 10 at UT25,TEXAS drive start at 15:00.
1st and 10 at UT25,"Sam Ehlinger rush for 15 yards to the UT40, 1ST DOWN UT (Williams,Jordan)."
1st and 10 at UT40,"Sam Ehlinger sacked for loss of 5 yards to the UT35 (Lynch,James)."
2nd and 15 at UT35,"Sam Ehlinger rush for 5 yards to the UT40 (Williams,Jordan)."
3rd and 10 at UT40,"Sam Ehlinger pass complete to Roschon Johnson for 6 yards to the UT46 (Williams,Jordan)."
4th and 4 at UT46,"Chris Naggar punt 41 yards to the BU13, downed."
Total,"4 plays , 21 yards Time of Possession: 2:51"
Baylor at 12:09
1st and 10 at BU13,BAYLOR drive start at 12:09.
1st and 10 at BU13,"Hasty,JaMycal rush for 4 yards to the BU17 (DeMar Overshown)."
2nd and 6 at BU17,"Brewer,Charlie pass incomplete to Sims,Ben."
3rd and 6 at BU17,"Brewer,Charlie pass complete to Mims,Denzel for 20 yards to the BU37, 1ST DOWN BU (D'Shawn Jamison;Chris Brown)."
1st and 10 at BU37,"Brewer,Charlie sacked for loss of 1 yard to the BU36 (Ta'Quon Graham), PENALTY UT face mask (Ta'Quon Graham) 15 yards to the UT48, 1ST DOWN BU, NO PLAY."
1st and 10 at UT48,"Brewer,Charlie rush for 2 yards to the UT46."
