"BU Captains: 3 Miller, 6 Hasty, 38 Williams, 52 Tecklenburg
                                                        
                                                                OU Captains: 1 Hurts, 9 Murray, 56 Humphrey, 90 Gallimore
                                                            
                                                                Oklahoma wins toss, defers; Baylor receives, defends north end zone."
1st and 10 at BU25,"Hasty,JaMycal rush for 18 yards to the BU43, fumble forced by Motley, Parnell, fumble by Hasty,JaMycal recovered by OU Fields, Pat at OU47, Fields, Pat for loss of 2 yards to the OU45, out-of-bounds."
Total,"1 plays , 28 yards Time of Possession: 0:10"
Oklahoma at 09:06
1st and 10 at OU45,OKLAHOMA drive start at 09:06.
1st and 10 at OU45,"Hurts, Jalen pass complete to Brooks, Kennedy for 2 yards to the OU47, out-of-bounds (Roy,Bravvion;Black,Henry)."
2nd and 8 at OU47,"Hurts, Jalen pass complete to Morris, Lee for 9 yards to the BU44, 1ST DOWN OU (Bernard,Terrel)."
1st and 10 at BU44,"Brooks, Kennedy rush for 5 yards to the BU39 (Miller,Chris)."
2nd and 5 at BU39,"Hurts, Jalen rush for 6 yards to the BU33, 1ST DOWN OU (Miller,Chris)."
1st and 10 at BU33,"Hurts, Jalen rush for 5 yards to the BU28 (Bernard,Terrel)."
2nd and 5 at BU28,"Hurts, Jalen rush for 4 yards to the BU24 (Miller,Chris)."
3rd and 1 at BU24,"Stevenson, R. rush for 1 yard to the BU23, fumble forced by Miller,Chris, fumble by Stevenson, R. recovered by OU Stevenson, R. at BU17, 1ST DOWN OU."
1st and 10 at BU17,"Hurts, Jalen rush for 8 yards to the BU9, out-of-bounds.
                                                    
                                                                Injury timeout: #3 Miller (BU)."
2nd and 2 at BU09,"Hurts, Jalen rush for 5 yards to the BU4, 1ST DOWN OU (Bernard,Terrel)."
1st and GOAL at BU04,"Hurts, Jalen pass incomplete to Haselwood, J.."
2nd and GOAL at BU04,"Hurts, Jalen rush for 1 yard to the BU3, fumble forced by Lynch,James, fumble by Hurts, Jalen recovered by BU Lynch,James at BU0, touchback."
Total,"11 plays , 55 yards Time of Possession: 4:37"
Baylor at 04:29
1st and 10 at BU20,BAYLOR drive start at 04:29.
1st and 10 at BU20,"PENALTY OU unsportsmanlike conduct (Hayes, Marquis) 15 yards to the BU35, 1ST DOWN BU."
1st and 10 at BU35,"Brewer,Charlie rush for loss of 4 yards to the BU31 (Perkins, Ronnie)."
2nd and 14 at BU31,"Brewer,Charlie pass incomplete to Platt,Chris."
3rd and 14 at BU31,"Brewer,Charlie pass complete to Lovett,John for 10 yards to the BU41 (Redmond, Jalen;Murray, Kenneth)."
4th and 4 at BU41,"Power,Issac punt 49 yards to the OU10, downed."
Total,"3 plays , 21 yards Time of Possession: 1:32"
Oklahoma at 02:57
1st and 10 at OU10,OKLAHOMA drive start at 02:57.
1st and 10 at OU10,"Hurts, Jalen pass incomplete to Rambo, C. (Williams,Jordan)."
2nd and 10 at OU10,"Hurts, Jalen rush for 6 yards to the OU16 (Houston,Jameson)."
3rd and 4 at OU16,"Hurts, Jalen pass complete to Morris, Lee for 15 yards to the OU31, 1ST DOWN OU (McVea,Jairon)."
1st and 10 at OU31,"Hurts, Jalen rush for 5 yards to the OU36 (Black,Henry;Bernard,Terrel)."
2nd and 5 at OU36,"Hurts, Jalen pass incomplete to Wease, Theo (Barnes,Kalon)."
3rd and 5 at OU36,"Hurts, Jalen pass complete to Wease, Theo for 12 yards to the OU48, 1ST DOWN OU (Black,Henry;Lynch,Blake)."
1st and 10 at OU48,"Hurts, Jalen rush for 7 yards to the BU45 (Williams,Jordan)."
2nd and 3 at BU45,"Hurts, Jalen pass complete to Morris, Lee for 15 yards to the BU30, 1ST DOWN OU (Black,Henry)."
""
1st and 10 at BU30,"Start of 4th quarter, clock 15:00."
1st and 10 at BU30,"Hurts, Jalen pass complete to Stevenson, R. for 6 yards to the BU24 (Bernard,Terrel)."
2nd and 4 at BU24,"Stevenson, R. rush for 2 yards to the BU22 (Morgan,C.)."
3rd and 2 at BU22,"Stevenson, R. rush for 1 yard to the BU21 (McVea,Jairon;Bernard,Terrel)."
4th and 1 at BU21,"Timeout Baylor, clock 13:39."
4th and 1 at BU21,"Hurts, Jalen rush for 2 yards to the BU19, 1ST DOWN OU (Williams,Jordan)."
1st and 10 at BU19,"Hurts, Jalen pass complete to Wease, Theo for 19 yards to the BU0, 1ST DOWN OU, TOUCHDOWN, clock 12:58."
1st and GOAL at BU03,"Brkic, Gabe kick attempt good."
1st and GOAL at OU35,"Brkic, Gabe kickoff 59 yards to the BU6, Fleeks,Josh return 16 yards to the BU22 (Morris, Lee)."
Total,"13 plays , 90 yards Time of Possession: 4:59"
Baylor at 12:58
1st and 10 at BU22,BAYLOR drive start at 12:58.
1st and 10 at BU22,"Brewer,Charlie pass complete to Fleeks,Josh for 6 yards to the BU28 (Turner-Yell, D.)."
2nd and 4 at BU28,"Brewer,Charlie sacked for loss of 5 yards to the BU23 (Perkins, Ronnie)."
3rd and 9 at BU23,"Brewer,Charlie pass incomplete to Thornton,Tyquan, dropped pass."
4th and 9 at BU23,"Mayers,John punt 54 yards to the OU23, downed."
Total,"3 plays , 1 yards Time of Possession: 1:32"
Oklahoma at 11:26
1st and 10 at OU23,OKLAHOMA drive start at 11:26.
